Id	latitude	longitude	altitude (m)	distance (km)
563	25.49289192	51.44753959	9.8	0.563
564	25.49290094	51.44753905	9.8	0.564
565	25.49290996	51.44753902	9.8	0.565
566	25.49291899	51.447539	9.8	0.566
567	25.49292802	51.44753897	9.8	0.567
568	25.49293704	51.44753917	9.7	0.568
569	25.49294607	51.44753946	9.7	0.569
570	25.49295509	51.44753975	9.7	0.570
571	25.4929641	51.44754027	9.7	0.571
572	25.49297309	51.44754114	9.7	0.572
573	25.49298208	51.44754202	9.6	0.573
574	25.49299107	51.44754294	9.6	0.574
575	25.49300001	51.44754428	9.6	0.575
576	25.49300896	51.44754562	9.6	0.576
577	25.4930179	51.44754696	9.6	0.577
578	25.4930268	51.44754867	9.6	0.578
579	25.49303568	51.44755045	9.6	0.579
580	25.49304456	51.44755222	9.6	0.580
581	25.49305339	51.44755427	9.6	0.581
582	25.49306219	51.44755649	9.7	0.582
583	25.49307099	51.44755872	9.7	0.583
584	25.49307974	51.44756114	9.7	0.584
585	25.49308841	51.44756392	9.8	0.585
586	25.49309707	51.4475667	9.9	0.586
587	25.49310572	51.44756954	9.9	0.587
588	25.49311425	51.44757281	10.0	0.588
589	25.49312277	51.44757608	10.1	0.589
590	25.4931313	51.44757935	10.1	0.590
591	25.49313968	51.44758304	10.2	0.591
592	25.49314805	51.44758677	10.3	0.592
593	25.49315641	51.4475905	10.3	0.593
594	25.49316466	51.44759456	10.4	0.594
595	25.49317284	51.44759875	10.5	0.595
596	25.49318102	51.44760295	10.6	0.596
597	25.49318908	51.44760742	10.6	0.597
598	25.49319699	51.44761222	10.7	0.598
599	25.4932049	51.44761701	10.8	0.599
600	25.49321274	51.44762192	10.9	0.600
601	25.49322039	51.44762721	11.0	0.601
602	25.49322804	51.44763249	11.1	0.602
603	25.49323567	51.4476378	11.1	0.603
604	25.493243	51.4476436	11.2	0.604
605	25.49325033	51.44764941	11.3	0.605
606	25.49325766	51.44765522	11.4	0.606
607	25.49326476	51.44766135	11.5	0.607
608	25.49327183	51.44766753	11.6	0.608
609	25.4932789	51.44767372	11.7	0.609
610	25.4932857	51.44768025	11.8	0.610
611	25.49329238	51.44768695	11.9	0.611
612	25.49329905	51.44769364	12.0	0.612
613	25.49330554	51.44770056	12.1	0.613
614	25.49331184	51.44770768	12.2	0.614
615	25.49331815	51.44771479	12.3	0.615
616	25.49332426	51.4477221	12.4	0.616
617	25.49333011	51.44772968	12.4	0.617
618	25.49333596	51.44773726	12.5	0.618
619	25.49334172	51.44774491	12.6	0.619
620	25.49334721	51.4477528	12.6	0.620
621	25.4933527	51.4477607	12.7	0.621
622	25.49335816	51.44776862	12.7	0.622
623	25.49336317	51.44777689	12.7	0.623
624	25.49336818	51.44778517	12.8	0.624
625	25.49337319	51.44779344	12.8	0.625
626	25.49337791	51.44780192	12.8	0.626
627	25.49338259	51.44781042	12.8	0.627
628	25.49338726	51.44781893	12.8	0.628
629	25.49339162	51.44782763	12.8	0.629
